title,categories/keyword,author_tags,title_tfidf
chernsimons current system dnarna transcriptionsarticleopen access,annalen der physik,chern simon current genetic code ghost field spinor field time series biological system cell membrane dna nucleic acid supersymmetry tcells tensor time series time series analysis algebraic construction correlation network empirical analysis empirical mode decomposition genetic code ghost field glycoprotein gene spinor field transcription,[0. 0. 0. ... 0. 0. 0.]
chemical modification enveloped virus biomedical applicationsreview,integrative biology united kingdom,glycan phospholipid virus dna virus rna virus vaccine biomaterial nanomaterial nanoparticle nucleic acid phospholipid polysaccharide virus envelope protein biocompatibility chemical modification conjugation drug delivery system golgi complex hepatitis b virus host cell human human immunodeficiency virus intracellular space lipid bilayer lipid membrane membrane fusion nonhuman physical chemistry priority journal protein subunit review surface property vaccinia virus vesiculovirus virus capsid virus envelope virus genome virus like agent virus nucleocapsid virus particle animal chemistry chlorocebus aethiops medical research mouse nih cell line protein domain vero cell line virus animal biocompatible material biomedical research cercopithecus aethiops drug delivery system hepatitis b virus human mouse nanoparticles nanostructures nih cell nucleic acid phospholipid polysaccharide protein domain vero cell viral envelope protein viral vaccine virus,[0. 0. 0. ... 0. 0. 0.]
spatial choice modeling using support vector machine svm characterization predictionconference paper,study computational intelligence,characterization prediction spatial choice modeling support vector machine,[0. 0. 0. ... 0. 0. 0.]
imaging improvement angledomain commonimagegathers local stack utilizing segmentation methodconference paper,seg technical program expanded abstract,data handling electromagnetic wave geophysical prospecting image enhancement image segmentation numerical method seismic response seismic wave statistical test angle domain image artefact migration velocity moveout non flat poyntings vector reverse time migration segmentation method seismic data processing stackings velocity,[0. 0. 0. ... 0. 0. 0.]
effect bioon gamma ray shielding structural property borosilicate glass recycled high pressure sodium lamp glassarticle,journal alloy compound,energy buildup factor ftir glass radiation shielding young modulus atom bismuth compound elastic modulus gamma ray glass high pressure effect high pressure engineering neon neutron phosphorus compound radiation radiation shielding recycling shielding sodium sodium compound structural property effective atomic number effective electron density energy absorption buildup factor energy buildup factor ftir high pressure sodium lamp mass attenuation coefficient radiation shielding glass borosilicate glass,[0. 0. 0. ... 0. 0. 0.]
electrochemical impedancebased dna sensor using pyrrolidinyl peptide nucleic acid tuberculosis detectionarticle,analytica chimica acta,acpcpna electrochemical impedance spectroscopy mycobacterium tuberculosis paperbased electrochemical dna biosensor analytic equipment charge transfer cyclic voltammetry dna electrochemical impedance spectroscopy oligonucleotides paper peptide polymerase chain reaction probe spectroscopy acpcpna charge transfer resistance electrochemical dna biosensors electrochemical dna sensor electrochemical impedance linear calibration curve mycobacterium tuberculosis paperbased analytical device nucleic acid complementary dna dna hybrid oligonucleotide peptide nucleic acid peptide nucleic acid pyrrolidine derivative article base mispairing cyclic potentiometry dna determination dna hybridization dna probe dna structure human impedance spectroscopy limit detection mycobacterium tuberculosis nonhuman nucleic acid immobilization polymerase chain reaction priority journal rna analysis tuberculosis chemistry electrochemical analysis genetic procedure isolation purification charge transfer measuring instrument nucleic acid paper peptide spectroscopy biosensing technique electrochemical technique mycobacterium tuberculosis peptide nucleic acid pyrrolidines,[0. 0. 0. ... 0. 0. 0.]
gold nanoparticles attenuates bacterial sepsis cecal ligation puncture mouse model induction macrophage polarizationarticleopen access,bmc microbiology,cecal ligation puncture gold nanoparticles macrophage polarization sepsis arginase cd antigen cilastatin plus imipenem gold nanoparticle inducible nitric oxide synthase interleukin interleukin beta interleukin peroxisome proliferator activated receptor gamma tumor necrosis factor antiinfective agent arg protein mouse arginase cytokine gold inducible nitric oxide synthase interleukin interleukin beta interleukin metal nanoparticle tumor necrosis factor animal experiment animal model antiinflammatory activity arg gene article bacterial load bacterium colony bone marrow derived macrophage controlled study cytokine production disease severity drug effect escherichia coli gene vitro study kidney function ligation liver injury macrophage male mouse nonhuman no gene polarization puncture sepsis survival animal bacterium cecum chemistry disease model drug effect immunology kidney kidney function test ligation macrophage metabolism microbiology particle size pathogenicity procedure puncture sepsis toxic hepatitis animal antibacterial agent arginase bacteria cecum chemical drug induced liver injury cytokine disease model animal escherichia coli gold interleukin interleukinbeta interleukin kidney kidney function test ligation macrophage male metal nanoparticles mouse nitric oxide synthase type ii particle size puncture sepsis tumor necrosis factoralpha,[0. 0. 0. ... 0. 0. 0.]
microbial small eukaryote associated reef upper gulf thailandarticleopen access,frontier marine science,rrna gene coral diversity fungi microbiome,[0. 0. 0. ... 0. 0. 0.]
antineutrophil cytoplasmic antibody clinical significancereview,clinical rheumatology,anca anca staining pattern ancaassociated vasculitis neutrophil cytoplasmic antibody neutrophil cytoplasmic antibody anca associated vasculitis antibody detection churg strauss syndrome clinical feature cystic fibrosis eosinophilic granuloma human inflammatory bowel disease microscopic polyangiitis nonhuman pathogenesis primary sclerosing cholangitis priority journal review systematic review wegener granulomatosis anca associated vasculitis blood immunology antineutrophil cytoplasmic antibodyassociated vasculitis antibody antineutrophil cytoplasmic human,[0. 0. 0. ... 0. 0. 0.]
locating asean east asia regional orderarticle,asia policy,,[0. 0. 0. ... 0. 0. 0.]
